STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/27/1990,14.32,0.02,0,0,,37,19,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/28/1990,14.09,0,0,0,,39,27,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/1/1990,14.09,0,0,0,,40,24,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/2/1990,11.86,0,0,0,,48,31,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/3/1990,7.61,0,0,0,,54,36,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/4/1990,14.99,0,0,0,,40,25,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/5/1990,8.5,0,0,0,,35,21,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/6/1990,14.76,0.21,1.9,1,,34,22,,0.2
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/7/1990,11.18,0,0,2,,32,14,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/8/1990,8.72,0,0,1,,39,20,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/9/1990,7.83,0.01,0,0,,43,29,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/10/1990,5.82,0.01,0,0,,47,39,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/11/1990,6.49,0.05,0,0,,59,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/12/1990,7.38,0,0,0,,59,43,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/13/1990,8.28,0,0,0,,85,41,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/14/1990,9.84,0,0,0,,62,46,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/15/1990,8.05,0,0,0,,55,43,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/16/1990,10.96,0,0,0,,62,48,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/17/1990,16.55,0.26,0,0,,61,49,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/18/1990,13.42,0.39,0,0,,59,47,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/19/1990,9.62,0.12,0,0,,53,39,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/20/1990,11.41,0.55,0,0,,52,39,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/21/1990,17.67,0.01,0,0,,55,38,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/22/1990,14.32,0,0,0,,53,34,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/23/1990,19.24,0,0,0,,68,37,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/24/1990,9.84,0,0,0,,37,34,,
